{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
{'name': 'Code.exe', 'pid': 9552, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'chrome.exe', 'pid': 9584, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'amdow.exe', 'pid': 9700, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 9856, 'username': None}
{'name': 'chrome.exe', 'pid': 9892, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'chrome.exe', 'pid': 9908, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'chrome.exe', 'pid': 9940, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'chrome.exe', 'pid': 10064, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'chrome.exe', 'pid': 10072, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'conhost.exe', 'pid': 10104, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'Code.exe', 'pid': 10152, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'chrome.exe', 'pid': 10160, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'WmiPrvSE.exe', 'pid': 10304, 'username': None}
{'name': 'LockApp.exe', 'pid': 10312, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'conhost.exe', 'pid': 10340, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'chrome.exe', 'pid': 10364, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'chrome.exe', 'pid': 10460, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'chrome.exe', 'pid': 10468, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'RuntimeBroker.exe', 'pid': 10480, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'Code.exe', 'pid': 10580, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'AMDRSSrcExt.exe', 'pid': 10744, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 10796, 'username': None}
{'name': 'SystemSettingsBroker.exe', 'pid': 10816, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'chrome.exe', 'pid': 10828, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'php.exe', 'pid': 11108, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'RuntimeBroker.exe', 'pid': 11144, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'SearchProtocolHost.exe', 'pid': 11196, 'username': None}
{'name': 'svchost.exe', 'pid': 11580, 'username': None}
{'name': 'conhost.exe', 'pid': 11816, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'backgroundTaskHost.exe', 'pid': 11948, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'HxOutlook.exe', 'pid': 12128, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'dllhost.exe', 'pid': 12148, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'powershell.exe', 'pid': 12300, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'MoUsoCoreWorker.exe', 'pid': 12360, 'username': None}
{'name': 'CodeHelper.exe', 'pid': 12404, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'notepad.exe', 'pid': 12536, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 12636, 'username': None}
{'name': 'Code.exe', 'pid': 12772, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'dllhost.exe', 'pid': 12940, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'Code.exe', 'pid': 12984, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'TextInputHost.exe', 'pid': 13172, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'RuntimeBroker.exe', 'pid': 13280, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'chrome.exe', 'pid': 13348, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'conhost.exe', 'pid': 13380, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'Code.exe', 'pid': 13388, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'cpptools-srv.exe', 'pid': 13476, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'HxTsr.exe', 'pid': 13656, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'conhost.exe', 'pid': 13664, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'Calculator.exe', 'pid': 13776, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'Code.exe', 'pid': 13780, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'powershell.exe', 'pid': 13920, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'GameBarFTServer.exe', 'pid': 14180, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'GoogleCrashHandler.exe', 'pid': 14212, 'username': None}
{'name': 'UserOOBEBroker.exe', 'pid': 14280, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'SystemSettings.exe', 'pid': 14444, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'ApplicationFrameHost.exe', 'pid': 14452, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'Code.exe', 'pid': 14460, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'SearchFilterHost.exe', 'pid': 14464, 'username': None}
{'name': 'cpptools-srv.exe', 'pid': 14480, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'GameBar.exe', 'pid': 14484, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'chrome.exe', 'pid': 14680, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'python.exe', 'pid': 15076, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'Code.exe', 'pid': 15100, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'TrustedInstaller.exe', 'pid': 15152, 'username': None}
{'name': 'Code.exe', 'pid': 15280, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'Code.exe', 'pid': 15320, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'conhost.exe', 'pid': 15364, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'audiodg.exe', 'pid': 15432, 'username': None}
{'name': 'svchost.exe', 'pid': 15796, 'username': None}
{'name': 'conhost.exe', 'pid': 15848, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'Code.exe', 'pid': 15868, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'Code.exe', 'pid': 15956, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'Code.exe', 'pid': 15972, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'Code.exe', 'pid': 16084, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'RuntimeBroker.exe', 'pid': 16204, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'powershell.exe', 'pid': 16352, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'Code.exe', 'pid': 16576, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 16840, 'username': None}
{'name': 'WinStore.App.exe', 'pid': 16900, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'CodeHelper.exe', 'pid': 17152, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'chrome.exe', 'pid': 17236, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'WmiPrvSE.exe', 'pid': 17468, 'username': None}
{'name': 'svchost.exe', 'pid': 17548, 'username': None}
{'name': 'chrome.exe', 'pid': 17564, 'username': 'LENOVO-G50-80\\USER'}
{'name': 'svchost.exe', 'pid': 18368, 'username': None}
